epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.24945,1.62849,2.30151,1.16391,0.0163,0.38704,0.13165,0.08089,1.55125,3.17915,1.12169,0.000648649,0.000648649,0.000648649
2,3.84481,1.53707,1.43112,1.15303,0.2722,0.39655,0.20012,0.11305,1.57321,2.81132,1.11066,0.00130229,0.00130229,0.00130229
3,5.42525,1.49322,1.29642,1.14264,0.56804,0.31466,0.34082,0.17547,1.65691,2.54431,1.18144,0.00194274,0.00194274,0.00194274
4,7.01385,1.49666,1.24948,1.14212,0.37022,0.43966,0.28652,0.15267,1.69752,2.05804,1.23418,0.0019406,0.0019406,0.0019406
5,8.5684,1.45377,1.13048,1.11616,0.45436,0.61378,0.44297,0.22391,1.54102,1.63805,1.15419,0.0019208,0.0019208,0.0019208
6,10.2012,1.41984,1.04257,1.09711,0.36532,0.60345,0.30878,0.15167,1.66996,2.12171,1.21203,0.001901,0.001901,0.001901
7,11.7545,1.40166,1.01171,1.10735,0.67126,0.64655,0.67031,0.31514,1.72615,1.54449,1.20744,0.0018812,0.0018812,0.0018812
8,13.299,1.36239,0.94713,1.07939,0.75088,0.63662,0.70425,0.35055,1.73035,1.26807,1.24968,0.0018614,0.0018614,0.0018614
9,14.8649,1.34555,0.91675,1.08373,0.68518,0.75431,0.76134,0.43255,1.54138,1.24892,1.12603,0.0018416,0.0018416,0.0018416
10,16.4265,1.32506,0.88436,1.05567,0.79985,0.70625,0.78414,0.39965,1.79319,1.10625,1.21333,0.0018218,0.0018218,0.0018218
11,17.9786,1.29663,0.87385,1.06372,0.8276,0.76724,0.82888,0.444,1.55116,1.18181,1.13325,0.001802,0.001802,0.001802
12,19.5403,1.31273,0.84448,1.05709,0.51964,0.62931,0.56186,0.28793,1.69776,1.35194,1.22151,0.0017822,0.0017822,0.0017822
13,21.0909,1.29154,0.82116,1.05655,0.67378,0.57759,0.64318,0.37203,1.47964,1.24443,1.11444,0.0017624,0.0017624,0.0017624
14,22.7456,1.26013,0.79306,1.04978,0.85837,0.65309,0.78374,0.43986,1.5888,1.04538,1.14513,0.0017426,0.0017426,0.0017426
15,24.3055,1.23946,0.77621,1.03426,0.76445,0.67241,0.68817,0.37733,1.53831,1.1001,1.12903,0.0017228,0.0017228,0.0017228
16,25.8361,1.27315,0.77819,1.04484,0.78951,0.66286,0.76703,0.43693,1.53668,1.0919,1.12376,0.001703,0.001703,0.001703
17,27.3913,1.2373,0.78452,1.04917,0.82144,0.71983,0.77507,0.40096,1.72904,0.97501,1.22108,0.0016832,0.0016832,0.0016832
18,28.9539,1.24964,0.75807,1.0363,0.85087,0.68966,0.77149,0.41713,1.61383,0.92008,1.16456,0.0016634,0.0016634,0.0016634
19,30.5076,1.22837,0.74602,1.02517,0.82641,0.75926,0.81066,0.45372,1.51122,0.88417,1.14997,0.0016436,0.0016436,0.0016436
20,32.0715,1.2103,0.74349,1.03017,0.62762,0.68103,0.65228,0.36071,1.60348,1.08117,1.20677,0.0016238,0.0016238,0.0016238
21,33.6272,1.18865,0.71086,1.01837,0.77225,0.57759,0.65335,0.37387,1.65848,1.33069,1.21718,0.001604,0.001604,0.001604
22,35.2608,1.19869,0.71253,1.01737,0.73758,0.75862,0.79629,0.44691,1.48349,0.92698,1.11387,0.0015842,0.0015842,0.0015842
23,36.8296,1.21387,0.7267,1.02095,0.7496,0.65086,0.72678,0.43902,1.48645,1.03738,1.10767,0.0015644,0.0015644,0.0015644
24,38.3731,1.18499,0.70617,1.0131,0.75825,0.61638,0.71562,0.42507,1.47243,1.14291,1.11024,0.0015446,0.0015446,0.0015446
25,39.9089,1.15482,0.68378,1.00276,0.74041,0.79741,0.78543,0.44687,1.53012,0.93323,1.15782,0.0015248,0.0015248,0.0015248
26,41.4478,1.1787,0.70542,1.00785,0.83898,0.8085,0.84465,0.46218,1.60461,0.83709,1.18461,0.001505,0.001505,0.001505
27,43.028,1.17726,0.69157,1.00562,0.80668,0.71947,0.81422,0.47639,1.56841,0.91141,1.15056,0.0014852,0.0014852,0.0014852
28,44.5743,1.15163,0.68182,1.00029,0.76638,0.82011,0.80898,0.44446,1.49043,0.86637,1.14675,0.0014654,0.0014654,0.0014654
29,46.1243,1.14477,0.67027,0.99147,0.82252,0.71552,0.80246,0.46699,1.54285,0.87687,1.14787,0.0014456,0.0014456,0.0014456
30,47.7648,1.15797,0.66771,1.00866,0.79302,0.71013,0.73963,0.41568,1.60446,1.00735,1.17044,0.0014258,0.0014258,0.0014258
31,49.3274,1.13601,0.65306,1.00101,0.82796,0.70531,0.78801,0.43508,1.52243,1.08574,1.14067,0.001406,0.001406,0.001406
32,50.8675,1.13459,0.68299,1.00389,0.8331,0.76724,0.80491,0.46447,1.49599,0.84328,1.10145,0.0013862,0.0013862,0.0013862
33,52.4148,1.1353,0.66652,1.00087,0.84929,0.68966,0.78717,0.46137,1.50803,0.92014,1.12757,0.0013664,0.0013664,0.0013664
34,53.9824,1.12256,0.64137,0.99011,0.77837,0.72414,0.77283,0.42051,1.60308,0.97832,1.17481,0.0013466,0.0013466,0.0013466
35,55.5034,1.14905,0.65584,0.99002,0.80921,0.69473,0.79109,0.41793,1.7214,0.93676,1.23344,0.0013268,0.0013268,0.0013268
36,57.0468,1.12148,0.64075,0.99334,0.82061,0.72957,0.77967,0.43652,1.59481,0.92146,1.17488,0.001307,0.001307,0.001307
37,58.6048,1.11535,0.62374,0.99555,0.89534,0.7069,0.79358,0.44125,1.52733,0.89618,1.13963,0.0012872,0.0012872,0.0012872
38,60.2199,1.11242,0.62609,0.98322,0.8201,0.78448,0.80637,0.43159,1.63503,0.86002,1.1953,0.0012674,0.0012674,0.0012674
39,61.7622,1.10049,0.61593,0.9856,0.77979,0.67672,0.76804,0.44147,1.52167,0.90904,1.13218,0.0012476,0.0012476,0.0012476
40,63.3221,1.08564,0.6293,0.98663,0.75727,0.68584,0.7102,0.40419,1.55324,1.12437,1.17302,0.0012278,0.0012278,0.0012278
41,64.8557,1.06984,0.61395,0.96907,0.77461,0.78514,0.80614,0.44207,1.53871,0.8805,1.14865,0.001208,0.001208,0.001208
42,66.4059,1.08353,0.60825,0.97485,0.81468,0.77689,0.81892,0.45316,1.49605,0.83862,1.12593,0.0011882,0.0011882,0.0011882
43,67.98,1.06466,0.60759,0.97541,0.82396,0.71552,0.77625,0.43333,1.57598,0.89794,1.1609,0.0011684,0.0011684,0.0011684
44,69.5267,1.07415,0.60614,0.974,0.76429,0.7069,0.76178,0.41668,1.60407,1.00535,1.18578,0.0011486,0.0011486,0.0011486
45,71.0632,1.07215,0.61789,0.98707,0.81971,0.7931,0.83585,0.48435,1.51998,0.87411,1.15546,0.0011288,0.0011288,0.0011288
46,72.7126,1.0586,0.61355,0.97743,0.81477,0.77737,0.81241,0.44507,1.6009,0.85126,1.17958,0.001109,0.001109,0.001109
47,74.2283,1.06376,0.60148,0.96797,0.7716,0.80088,0.79828,0.42896,1.58862,0.92774,1.17269,0.0010892,0.0010892,0.0010892
48,75.7551,1.05329,0.5965,0.96901,0.81545,0.81898,0.83863,0.50139,1.41857,0.79151,1.08089,0.0010694,0.0010694,0.0010694
49,77.3185,1.05047,0.5933,0.96478,0.75292,0.80123,0.80747,0.47497,1.47208,0.81891,1.1088,0.0010496,0.0010496,0.0010496
50,78.8697,1.05747,0.59124,0.96969,0.83135,0.72845,0.79227,0.45837,1.50616,0.90543,1.13712,0.0010298,0.0010298,0.0010298
51,80.4118,1.02281,0.58542,0.95426,0.80122,0.78017,0.80765,0.48584,1.44425,0.7963,1.09287,0.00101,0.00101,0.00101
52,81.9626,1.04065,0.58107,0.96185,0.81503,0.79768,0.83035,0.48948,1.45515,0.8362,1.1121,0.0009902,0.0009902,0.0009902
53,83.5181,1.03888,0.58768,0.95935,0.84097,0.75217,0.82923,0.49462,1.42923,0.79821,1.09803,0.0009704,0.0009704,0.0009704
54,85.1316,1.04224,0.57344,0.95761,0.84024,0.77586,0.82915,0.46888,1.46984,0.84211,1.11458,0.0009506,0.0009506,0.0009506
55,86.7005,1.03637,0.58261,0.95486,0.77416,0.76834,0.7819,0.42909,1.56841,0.887,1.15868,0.0009308,0.0009308,0.0009308
56,88.2547,1.02693,0.57988,0.95755,0.86278,0.82759,0.8714,0.51274,1.44937,0.73056,1.10866,0.000911,0.000911,0.000911
57,89.8132,1.01981,0.56925,0.95748,0.79835,0.785,0.82608,0.46942,1.49595,0.79704,1.13291,0.0008912,0.0008912,0.0008912
58,91.3711,1.01172,0.5675,0.96035,0.76233,0.76293,0.81542,0.4817,1.4495,0.79438,1.10097,0.0008714,0.0008714,0.0008714
59,92.9264,1.01995,0.56967,0.96234,0.78727,0.72414,0.76021,0.43814,1.5017,0.89687,1.14665,0.0008516,0.0008516,0.0008516
60,94.482,1.0544,0.56884,0.96128,0.78114,0.78458,0.8044,0.44366,1.49651,0.80223,1.14316,0.0008318,0.0008318,0.0008318
61,96.0266,1.02866,0.55384,0.94982,0.83834,0.75999,0.8033,0.4542,1.51833,0.85328,1.14912,0.000812,0.000812,0.000812
62,97.6568,0.96785,0.53487,0.93631,0.76652,0.82328,0.78921,0.43647,1.43501,0.89492,1.09785,0.0007922,0.0007922,0.0007922
63,99.2119,0.98203,0.54525,0.94074,0.79304,0.7928,0.79988,0.46746,1.4844,0.78826,1.11184,0.0007724,0.0007724,0.0007724
64,100.733,1.00149,0.56064,0.94589,0.8456,0.73276,0.7892,0.4338,1.49894,0.7788,1.13202,0.0007526,0.0007526,0.0007526
65,102.261,0.96686,0.55155,0.93929,0.82159,0.65503,0.76408,0.43765,1.58824,0.92681,1.19399,0.0007328,0.0007328,0.0007328
66,103.826,0.9911,0.54482,0.94415,0.84039,0.74894,0.81475,0.48078,1.53009,0.80831,1.16278,0.000713,0.000713,0.000713
67,105.373,0.97967,0.53698,0.93627,0.84864,0.72499,0.78953,0.46629,1.5152,0.82852,1.15733,0.0006932,0.0006932,0.0006932
68,106.896,0.96936,0.53614,0.93941,0.8305,0.71121,0.79024,0.42701,1.51044,0.87883,1.15872,0.0006734,0.0006734,0.0006734
69,108.464,0.96714,0.52391,0.93911,0.82253,0.71121,0.79431,0.44864,1.54637,0.92066,1.16712,0.0006536,0.0006536,0.0006536
70,110.08,0.97311,0.53892,0.94251,0.78376,0.75431,0.78253,0.45031,1.49244,0.92896,1.13271,0.0006338,0.0006338,0.0006338
71,111.622,0.96105,0.53427,0.9353,0.80935,0.75862,0.82568,0.47952,1.51133,0.90854,1.16222,0.000614,0.000614,0.000614
72,113.162,0.96741,0.53107,0.9401,0.80594,0.78448,0.82719,0.48968,1.40809,0.87809,1.07657,0.0005942,0.0005942,0.0005942
73,114.683,0.95626,0.53302,0.93826,0.85838,0.78879,0.82257,0.5112,1.40296,0.75199,1.08374,0.0005744,0.0005744,0.0005744
74,116.237,0.96387,0.52342,0.93533,0.7785,0.80293,0.79024,0.46105,1.46611,0.78837,1.0981,0.0005546,0.0005546,0.0005546
75,117.798,0.94956,0.51624,0.93226,0.88344,0.73707,0.81373,0.46544,1.46504,0.83052,1.13143,0.0005348,0.0005348,0.0005348
76,119.349,0.94472,0.50976,0.93234,0.85931,0.73712,0.83097,0.51458,1.4065,0.82103,1.08604,0.000515,0.000515,0.000515
77,120.885,0.93046,0.51558,0.92685,0.85695,0.75,0.84074,0.5102,1.40255,0.8487,1.09845,0.0004952,0.0004952,0.0004952
78,122.515,0.9185,0.51104,0.92999,0.82562,0.76293,0.8291,0.4988,1.44376,0.87415,1.12176,0.0004754,0.0004754,0.0004754
79,124.056,0.92526,0.50479,0.93213,0.85741,0.75164,0.83965,0.51927,1.40147,0.7616,1.09895,0.0004556,0.0004556,0.0004556
80,125.603,0.94046,0.52155,0.93559,0.84046,0.75862,0.82684,0.49958,1.45636,0.8131,1.1226,0.0004358,0.0004358,0.0004358
81,127.146,0.92005,0.50631,0.92346,0.80984,0.73425,0.80174,0.46226,1.53489,0.95611,1.1597,0.000416,0.000416,0.000416
82,128.707,0.91012,0.49989,0.92411,0.8099,0.73707,0.81014,0.47557,1.47828,0.88523,1.13373,0.0003962,0.0003962,0.0003962
83,130.255,0.90231,0.49711,0.92844,0.88139,0.70465,0.80277,0.46075,1.48022,0.8841,1.15927,0.0003764,0.0003764,0.0003764
84,131.798,0.90927,0.49856,0.91687,0.84093,0.77478,0.82156,0.48178,1.46546,0.75854,1.13008,0.0003566,0.0003566,0.0003566
85,133.352,0.89481,0.48599,0.91995,0.83504,0.7637,0.816,0.47298,1.50444,0.8287,1.15361,0.0003368,0.0003368,0.0003368
86,134.976,0.89672,0.4902,0.91853,0.84241,0.7604,0.82709,0.49042,1.4414,0.81362,1.11943,0.000317,0.000317,0.000317
87,136.522,0.88041,0.4924,0.91044,0.83373,0.77807,0.82841,0.50108,1.44083,0.74901,1.1155,0.0002972,0.0002972,0.0002972
88,138.065,0.88554,0.48645,0.91928,0.79557,0.75431,0.80883,0.46847,1.502,0.78113,1.1786,0.0002774,0.0002774,0.0002774
89,139.604,0.88946,0.48264,0.91793,0.79379,0.76293,0.81857,0.46185,1.51986,0.77397,1.16962,0.0002576,0.0002576,0.0002576
90,141.149,0.87146,0.48914,0.91458,0.81173,0.78055,0.81813,0.47924,1.44079,0.74295,1.12816,0.0002378,0.0002378,0.0002378
91,143.085,0.88505,0.46918,0.91404,0.86791,0.71552,0.8154,0.48497,1.42732,0.77534,1.12811,0.000218,0.000218,0.000218
92,144.595,0.8801,0.46607,0.91211,0.85804,0.73707,0.8322,0.49819,1.44928,0.78499,1.13989,0.0001982,0.0001982,0.0001982
93,146.099,0.86168,0.45556,0.90787,0.85033,0.73468,0.82568,0.49198,1.47736,0.82245,1.14226,0.0001784,0.0001784,0.0001784
94,147.697,0.85941,0.44698,0.90747,0.82548,0.75435,0.82511,0.4933,1.4956,0.8344,1.15126,0.0001586,0.0001586,0.0001586
95,149.241,0.86775,0.44807,0.91179,0.86026,0.71983,0.8314,0.49759,1.45721,0.83533,1.13746,0.0001388,0.0001388,0.0001388
96,150.743,0.85135,0.44386,0.90885,0.87498,0.73276,0.83152,0.4917,1.45913,0.80364,1.13628,0.000119,0.000119,0.000119
97,152.252,0.83665,0.44046,0.89932,0.86577,0.72845,0.82671,0.49563,1.43923,0.80865,1.12401,9.92e-05,9.92e-05,9.92e-05
98,153.782,0.83552,0.44294,0.89913,0.87057,0.72414,0.83847,0.50145,1.46061,0.81039,1.13671,7.94e-05,7.94e-05,7.94e-05
99,155.299,0.83953,0.43895,0.90814,0.87085,0.72663,0.83659,0.49956,1.44247,0.81273,1.12666,5.96e-05,5.96e-05,5.96e-05
100,156.817,0.82513,0.43968,0.90059,0.86103,0.72109,0.8375,0.49774,1.45815,0.81816,1.13529,3.98e-05,3.98e-05,3.98e-05
