epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.39442,1.21327,2.5412,1.46429,0.00258,0.83784,0.39491,0.18573,1.60397,3.74043,1.65995,0.000648649,0.000648649,0.000648649
2,3.93847,1.21371,1.86807,1.40495,0.25267,0.2973,0.19133,0.10568,1.3099,3.6212,1.59195,0.00130229,0.00130229,0.00130229
3,5.50321,1.20284,1.57763,1.39629,0.70875,0.5264,0.51521,0.1952,1.38177,4.73574,1.68931,0.00194274,0.00194274,0.00194274
4,7.05017,1.2905,1.48526,1.42848,0.90688,0.51351,0.67133,0.35406,1.62229,3.66311,1.51188,0.0019406,0.0019406,0.0019406
5,8.57148,1.25484,1.34272,1.41127,0.93887,0.2973,0.35634,0.21264,2.15877,3.3081,2.74501,0.0019208,0.0019208,0.0019208
6,10.0772,1.1708,1.15445,1.35615,0.14382,0.38139,0.15086,0.07902,2.54927,2.89709,2.91654,0.001901,0.001901,0.001901
7,11.6031,1.17198,1.08852,1.37292,0.65436,0.72973,0.66194,0.42477,1.51444,1.39631,1.47726,0.0018812,0.0018812,0.0018812
8,13.1115,1.12731,1.00159,1.31585,0.68746,0.83784,0.78737,0.37168,1.6393,1.9099,1.71026,0.0018614,0.0018614,0.0018614
9,14.6727,1.09965,0.95578,1.30661,0.83269,0.81081,0.82044,0.47086,1.29495,1.38357,1.31789,0.0018416,0.0018416,0.0018416
10,16.2932,1.05811,0.9073,1.27443,0.67709,0.59459,0.63515,0.42642,1.34746,1.3319,1.40673,0.0018218,0.0018218,0.0018218
11,17.8467,1.03629,0.84944,1.26122,0.87395,0.35135,0.45317,0.23615,1.93907,2.51869,2.04206,0.001802,0.001802,0.001802
12,19.4261,1.08993,0.87921,1.30046,0.93733,0.80852,0.89805,0.58041,1.3245,0.96202,1.30202,0.0017822,0.0017822,0.0017822
13,20.9685,1.01143,0.8023,1.25618,0.3194,0.54054,0.28214,0.18156,1.72545,2.46027,1.75735,0.0017624,0.0017624,0.0017624
14,22.5563,0.98965,0.79324,1.25206,0.72749,0.9381,0.90424,0.56461,1.19781,1.07793,1.17842,0.0017426,0.0017426,0.0017426
15,24.1435,0.96593,0.79653,1.23972,0.91366,0.91892,0.95705,0.6859,0.91288,0.66102,1.0268,0.0017228,0.0017228,0.0017228
16,25.7302,0.93371,0.72678,1.21721,0.96209,0.97297,0.97234,0.69651,1.03377,0.82895,1.08857,0.001703,0.001703,0.001703
17,27.2971,0.94905,0.71731,1.22338,0.8714,0.94595,0.91458,0.59747,1.01084,0.96323,1.21047,0.0016832,0.0016832,0.0016832
18,28.8329,0.90276,0.70155,1.19889,0.96302,0.89189,0.92683,0.69134,1.04613,0.79347,1.15268,0.0016634,0.0016634,0.0016634
19,30.4067,0.93556,0.6889,1.20243,0.85743,0.83784,0.89276,0.67842,0.87347,0.73488,0.97485,0.0016436,0.0016436,0.0016436
20,31.92,0.89548,0.67153,1.16975,0.80006,0.54077,0.65085,0.43311,1.45936,1.28329,1.43356,0.0016238,0.0016238,0.0016238
21,33.5187,0.89321,0.641,1.16782,0.94283,0.91892,0.9332,0.7069,0.81361,0.60503,0.9871,0.001604,0.001604,0.001604
22,35.0715,0.86252,0.63417,1.15029,0.97026,0.94595,0.97235,0.71968,0.89558,0.59311,1.0653,0.0015842,0.0015842,0.0015842
23,36.6813,0.83502,0.643,1.14921,0.92676,0.89189,0.94641,0.65048,1.24854,0.75696,1.34702,0.0015644,0.0015644,0.0015644
24,38.2585,0.85043,0.6405,1.15556,0.86223,0.86486,0.94006,0.66015,0.97714,0.67891,1.15883,0.0015446,0.0015446,0.0015446
25,39.8301,0.85463,0.62759,1.16616,0.94382,0.90822,0.92658,0.69539,0.88985,0.62031,0.9195,0.0015248,0.0015248,0.0015248
26,41.3566,0.83692,0.63215,1.14666,0.84877,0.91029,0.93386,0.61504,0.95836,0.89361,1.0933,0.001505,0.001505,0.001505
27,42.9103,0.82912,0.62607,1.14316,0.94648,0.95606,0.97071,0.71142,0.97972,0.63049,1.1917,0.0014852,0.0014852,0.0014852
28,44.4637,0.79847,0.59895,1.13404,0.93888,0.83053,0.93009,0.65049,0.92543,0.68309,1.05541,0.0014654,0.0014654,0.0014654
29,45.9914,0.83385,0.61416,1.15095,0.99732,0.91892,0.96998,0.74546,0.95406,0.63607,1.1752,0.0014456,0.0014456,0.0014456
30,47.5404,0.79673,0.57874,1.13054,0.93984,0.97297,0.96594,0.74034,0.79206,0.57139,0.94854,0.0014258,0.0014258,0.0014258
31,49.0628,0.79734,0.55908,1.11805,0.93904,0.94595,0.96019,0.73609,0.80717,0.60368,0.90482,0.001406,0.001406,0.001406
32,50.5754,0.77592,0.57636,1.13312,0.78203,0.97297,0.94196,0.67191,0.98509,0.68228,1.13075,0.0013862,0.0013862,0.0013862
33,52.0705,0.77006,0.57384,1.1501,0.89567,0.92831,0.96035,0.6948,1.03975,0.59737,1.10716,0.0013664,0.0013664,0.0013664
34,53.5958,0.74487,0.54151,1.09774,0.92277,0.96883,0.96656,0.74765,0.70809,0.46813,0.89532,0.0013466,0.0013466,0.0013466
35,55.1385,0.8239,0.58301,1.14306,0.97274,0.96477,0.95868,0.65691,0.89757,0.55137,0.99548,0.0013268,0.0013268,0.0013268
36,56.6782,0.7529,0.55325,1.11206,0.81332,0.94595,0.91633,0.69291,0.82874,0.59946,0.98193,0.001307,0.001307,0.001307
37,58.2101,0.76758,0.56854,1.12303,1,0.78134,0.81748,0.63075,1.02866,0.7898,1.12244,0.0012872,0.0012872,0.0012872
38,59.7455,0.76322,0.53288,1.10443,0.89673,0.78378,0.8554,0.6137,1.03854,0.79832,1.17791,0.0012674,0.0012674,0.0012674
