epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.59219,2.18451,10.6521,1.05006,0,0,0,0,1.80336,6.42522,0.93954,0.000540649,0.000540649,0.000540649
2,4.18177,1.74572,6.1493,0.90412,0.00192,0.75101,0.01168,0.00561,1.68765,331.032,0.90524,0.00108546,0.00108546,0.00108546
3,5.76764,1.75904,5.11766,0.89024,0.85232,0.44632,0.76469,0.35371,1.72178,3.10377,0.95324,0.00161927,0.00161927,0.00161927
4,7.31207,1.76046,4.24452,0.89124,0.93045,0.67333,0.9262,0.41266,1.59093,2.41333,0.91516,0.00161749,0.00161749,0.00161749
5,8.88044,1.72567,3.35943,0.89875,0.94227,0.97368,0.98841,0.46014,1.81975,1.13647,0.96423,0.00160099,0.00160099,0.00160099
6,10.4401,1.64378,2.76325,0.89645,0.95334,0.97952,0.99125,0.51442,1.59797,0.7668,0.91393,0.00158448,0.00158448,0.00158448
7,11.9932,1.62919,2.07361,0.90186,0.93036,0.93522,0.95568,0.45675,1.6128,0.9364,0.93666,0.00156798,0.00156798,0.00156798
8,13.4697,1.57174,1.83775,0.87628,0.83359,0.86962,0.94081,0.42276,1.90987,0.97899,1.00531,0.00155148,0.00155148,0.00155148
9,14.9841,1.52131,1.72891,0.87032,0.9815,0.78947,0.91757,0.40576,1.49713,1.15519,0.91977,0.00153497,0.00153497,0.00153497
10,16.5114,1.46107,1.46232,0.86404,0.95807,0.97368,0.99375,0.52441,1.76192,0.85266,0.95338,0.00151847,0.00151847,0.00151847
11,18.0568,1.50335,1.23093,0.87164,0.95239,0.97368,0.98578,0.56826,1.51282,0.80308,0.91241,0.00150197,0.00150197,0.00150197
12,19.6266,1.47872,1.18431,0.85018,0.94932,0.98205,0.995,0.54307,1.57785,0.75408,0.90448,0.00148546,0.00148546,0.00148546
13,21.1772,1.38162,1.10274,0.85708,0.97756,0.99199,0.995,0.55289,1.50338,0.70727,0.93404,0.00146896,0.00146896,0.00146896
14,22.7435,1.39662,1.0045,0.86318,0.9769,1,0.995,0.58532,1.43262,0.68074,0.94346,0.00145246,0.00145246,0.00145246
