epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.95294,1.1435,2.48698,2.15033,1.23946,0.72055,0.61111,0.5769,0.45702,0.72055,0.61111,0.5769,0.47678,1.13394,1.58231,1.64694,1.17822,6e-05,6e-05,6e-05
2,2.92313,1.17581,2.9743,2.75022,1.21654,0.70935,0.61111,0.5953,0.47411,0.70935,0.61111,0.5953,0.49495,1.04344,1.53434,1.62498,1.09621,0.000136535,0.000136535,0.000136535
3,3.87749,1.03378,2.34804,2.27639,1.19552,0.71233,0.61111,0.60555,0.48158,0.71233,0.61111,0.60555,0.50043,1.01876,1.44754,1.56331,1.09033,0.00020911,0.00020911,0.00020911
4,4.82393,0.96455,2.19875,1.95189,1.18668,0.85484,0.66667,0.79518,0.59359,0.85484,0.66667,0.79518,0.59105,0.91769,1.10339,0.9791,1.07776,0.000277725,0.000277725,0.000277725
5,5.75472,0.86374,1.6678,1.32178,1.08293,0.92758,0.83333,0.91223,0.70996,0.92758,0.83333,0.91223,0.73401,0.81578,0.98264,0.68432,1.01698,0.00034238,0.00034238,0.00034238
6,6.70051,0.7729,1.43761,0.96377,1.01243,0.87236,0.83333,0.95449,0.7676,0.87236,0.83333,0.95449,0.76579,0.77536,0.89991,0.56156,1.03457,0.000403075,0.000403075,0.000403075
7,7.66974,0.72528,1.51838,0.94769,1.01347,0.78538,1,0.91219,0.7428,0.78538,1,0.92511,0.75563,0.66722,0.9581,0.6076,0.91133,0.00045981,0.00045981,0.00045981
8,8.61044,0.64038,1.14662,0.7844,0.95159,0.77338,1,0.93484,0.7962,0.77338,1,0.93484,0.78597,0.58211,0.94918,0.57727,0.84688,0.000512585,0.000512585,0.000512585
9,9.58293,0.57204,1.05874,0.69107,0.93716,0.76472,1,0.94313,0.8177,0.76472,1,0.94313,0.82267,0.58086,0.88085,0.53875,0.84296,0.0005614,0.0005614,0.0005614
10,10.5737,0.59685,1.13835,0.69993,0.96537,0.84088,1,0.96151,0.83102,0.84088,1,0.96151,0.83359,0.57227,0.75125,0.48849,0.88433,0.000606255,0.000606255,0.000606255
11,11.5241,0.72354,1.03397,0.89557,0.98823,0.85209,1,0.95732,0.83162,0.85209,1,0.95732,0.8457,0.54547,0.71595,0.50262,0.89679,0.00064715,0.00064715,0.00064715
12,12.4604,0.58408,1.0801,0.65636,0.9412,0.83448,0.94444,0.94809,0.81769,0.83448,0.94444,0.94809,0.82632,0.52655,0.68149,0.5184,0.82608,0.000684085,0.000684085,0.000684085
13,13.4082,0.7141,1.32464,0.69415,0.96517,0.83008,0.94444,0.95913,0.85933,0.83008,0.94444,0.95913,0.83079,0.48431,0.83083,0.5164,0.78527,0.00071706,0.00071706,0.00071706
14,14.3734,0.56849,1.04021,0.64928,0.95246,0.78556,0.94444,0.9462,0.84406,0.78556,0.94444,0.9462,0.86087,0.53369,0.77407,0.49238,0.80717,0.000746075,0.000746075,0.000746075
15,15.3498,0.54359,0.90169,0.5951,0.91543,0.92812,0.94444,0.96492,0.86916,0.92812,0.94444,0.96492,0.87413,0.49052,0.65468,0.48399,0.81107,0.00077113,0.00077113,0.00077113
16,16.3233,0.55091,1.00903,0.60755,0.92023,1,0.94209,0.97227,0.86016,1,0.94209,0.97227,0.88135,0.45785,0.66971,0.48229,0.80883,0.000792225,0.000792225,0.000792225
17,17.2731,0.57274,0.97541,0.61789,0.9215,0.8756,0.88889,0.88861,0.80978,0.8756,0.88889,0.88861,0.81019,0.48319,0.72108,0.58635,0.79127,0.00080936,0.00080936,0.00080936
18,18.2178,0.48906,0.82999,0.63189,0.886,0.88224,0.94444,0.93553,0.84668,0.88224,0.94444,0.93553,0.80685,0.45454,0.81581,0.58055,0.77332,0.000822535,0.000822535,0.000822535
19,19.1851,0.63425,0.95089,0.66738,0.95293,0.84751,0.9269,0.93119,0.83008,0.84751,0.9269,0.93119,0.80258,0.46611,0.88054,0.53011,0.77339,0.00083175,0.00083175,0.00083175
20,20.1337,0.59622,0.90623,0.6509,0.91246,0.92371,0.94444,0.95184,0.84519,0.92371,0.94444,0.95184,0.83803,0.4962,0.68084,0.4628,0.80848,0.000837005,0.000837005,0.000837005
21,21.0729,0.5094,0.90959,0.57078,0.91319,0.84862,0.93472,0.91518,0.81549,0.84862,0.93472,0.91518,0.79698,0.4429,0.73274,0.53559,0.75326,0.0008383,0.0008383,0.0008383
22,22.0193,0.50101,0.84678,0.5323,0.88038,0.87377,0.88889,0.89674,0.80502,0.87377,0.88889,0.89674,0.81232,0.41454,0.67719,0.52125,0.74966,0.000835635,0.000835635,0.000835635
23,22.9708,0.49115,0.85774,0.51789,0.88637,0.86822,0.88889,0.93626,0.845,0.86822,0.88889,0.93626,0.83407,0.41507,0.72523,0.51077,0.75138,0.00082901,0.00082901,0.00082901
24,23.9117,0.66227,0.94024,0.6582,1.00243,0.85353,0.94444,0.93967,0.82873,0.85353,0.94444,0.93967,0.81226,0.41099,0.71945,0.49803,0.76238,0.000818425,0.000818425,0.000818425
25,24.8468,0.49264,0.8338,0.48816,0.86094,0.87403,0.88889,0.92912,0.83058,0.87403,0.88889,0.92912,0.81396,0.43014,0.65682,0.54303,0.75966,0.00080388,0.00080388,0.00080388
26,25.8081,0.52113,0.83472,0.48627,0.88591,0.86589,0.88889,0.91437,0.85927,0.86589,0.88889,0.91437,0.83304,0.42297,0.62379,0.53246,0.75307,0.0007625,0.0007625,0.0007625
27,26.726,0.52936,0.89873,0.50273,0.89116,0.8362,0.88889,0.90072,0.84077,0.8362,0.88889,0.90072,0.82529,0.45868,0.67612,0.56751,0.78409,0.000713,0.000713,0.000713
28,27.6702,0.56559,0.81256,0.57065,0.86865,0.8705,0.88889,0.93216,0.86206,0.8705,0.88889,0.93216,0.83112,0.39173,0.63582,0.4998,0.74177,0.0006635,0.0006635,0.0006635
29,28.6335,0.49395,0.77129,0.51192,0.87572,0.93036,0.88889,0.96368,0.88301,0.93036,0.88889,0.96368,0.855,0.39403,0.61071,0.46943,0.74972,0.000614,0.000614,0.000614
30,29.5739,0.46336,0.79375,0.48471,0.87294,0.88619,0.88889,0.92837,0.87192,0.88619,0.88889,0.92837,0.85037,0.40868,0.63003,0.54854,0.76548,0.0005645,0.0005645,0.0005645
31,31.8893,0.40327,0.71379,0.39112,0.84499,0.91371,0.88889,0.91866,0.84634,0.91371,0.88889,0.91866,0.85537,0.4237,0.65572,0.52452,0.76888,0.000515,0.000515,0.000515
32,33.0535,0.4393,0.75776,0.49116,0.86293,0.91411,0.88889,0.94615,0.84968,0.91411,0.88889,0.94615,0.86454,0.41243,0.62795,0.49686,0.7602,0.0004655,0.0004655,0.0004655
33,34.0521,0.46793,0.82528,0.48315,0.94145,0.95699,0.88889,0.96667,0.87133,0.95699,0.88889,0.96667,0.8757,0.43884,0.60164,0.46418,0.79219,0.000416,0.000416,0.000416
34,35.0588,0.46368,1.00667,0.56071,0.8588,0.87014,0.94444,0.95143,0.85756,0.87014,0.94444,0.95143,0.87705,0.41009,0.60983,0.50493,0.76843,0.0003665,0.0003665,0.0003665
35,36.0468,0.4814,0.88555,0.39978,0.90222,0.87048,0.88889,0.9127,0.84663,0.87048,0.88889,0.9127,0.82931,0.39173,0.63931,0.56458,0.75954,0.000317,0.000317,0.000317
36,37.081,0.58687,0.85445,0.49768,0.86249,0.87,0.88889,0.91281,0.85671,0.87,0.88889,0.91281,0.82724,0.37311,0.62629,0.56621,0.74958,0.0002675,0.0002675,0.0002675
37,38.098,0.38646,0.6796,0.37122,0.83374,0.86205,0.88889,0.91394,0.86244,0.86205,0.88889,0.91394,0.82492,0.35915,0.61093,0.55042,0.7414,0.000218,0.000218,0.000218
38,39.1214,1.02613,0.58515,0.63214,1.03523,0.84683,0.92213,0.93737,0.87313,0.84683,0.92213,0.93737,0.83118,0.35293,0.59907,0.53736,0.74065,0.0001685,0.0001685,0.0001685
39,40.1328,0.52396,0.82914,0.41458,0.8666,0.84882,0.94444,0.93868,0.87688,0.84882,0.94444,0.93868,0.84208,0.34759,0.6042,0.49975,0.74207,0.000119,0.000119,0.000119
40,41.1127,0.47013,0.81467,0.45075,0.91557,0.83488,0.94444,0.93868,0.88154,0.83488,0.94444,0.93868,0.83631,0.34063,0.60662,0.49002,0.7412,6.95e-05,6.95e-05,6.95e-05
