epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.1636,1.48248,3.57113,2.42,1.07736,0.02243,0.51039,0.21834,0.12222,0.01923,0.43759,0.18001,0.08565,1.62848,4.03008,3.01265,1.07559,0.00046,0.00046,0.00046
2,39.1899,1.37974,3.13156,1.13493,1.04813,0.93719,0.08374,0.16128,0.10458,0.97305,0.04928,0.14651,0.08457,1.52852,3.58931,2.79659,1.05263,0.000930694,0.000930694,0.000930694
3,52.8167,1.36016,3.09725,1.04717,1.05241,0.73294,0.06119,0.16837,0.10823,0.65482,0.05467,0.1318,0.05733,1.56299,3.94467,2.60986,1.08608,0.00139188,0.00139188,0.00139188
4,66.5886,1.34023,3.04635,0.98434,1.04739,0.3621,0.17488,0.18584,0.10679,0.29173,0.13803,0.10793,0.04052,1.64688,4.19073,2.26914,1.16919,0.00184357,0.00184357,0.00184357
5,80.3818,1.32513,3.03256,0.93372,1.04325,0.24643,0.3035,0.17109,0.09199,0.22383,0.23115,0.12144,0.04613,1.69197,4.33935,1.8747,1.27016,0.0019208,0.0019208,0.0019208
6,93.9546,1.31462,2.97531,0.89447,1.04519,0.35066,0.36706,0.29332,0.17346,0.31616,0.29182,0.23122,0.10522,1.52275,3.84025,1.55478,1.16511,0.001901,0.001901,0.001901
7,106.977,1.27532,2.92669,0.85167,1.03584,0.58168,0.46595,0.4931,0.28322,0.52899,0.34855,0.36527,0.16433,1.46655,3.83835,1.05107,1.1345,0.0018812,0.0018812,0.0018812
8,121.239,1.25465,2.9076,0.8177,1.02749,0.61784,0.47384,0.51259,0.30017,0.57564,0.36372,0.39696,0.17965,1.43599,3.66587,1.02371,1.12898,0.0018614,0.0018614,0.0018614
9,134.484,1.24578,2.87823,0.80173,1.02507,0.70543,0.47247,0.54807,0.32754,0.64256,0.36251,0.41467,0.19224,1.36296,3.29972,1.00631,1.07923,0.0018416,0.0018416,0.0018416
10,147.936,1.24117,2.84637,0.7801,1.01948,0.66129,0.49158,0.55763,0.32789,0.57718,0.34719,0.39496,0.17807,1.36317,3.28257,0.97951,1.07258,0.0018218,0.0018218,0.0018218
11,161.366,1.22272,2.83505,0.77565,1.01731,0.67004,0.47988,0.54176,0.32913,0.59096,0.36099,0.41144,0.19212,1.35907,3.26322,0.93333,1.06343,0.001802,0.001802,0.001802
12,175.713,1.21569,2.84405,0.77012,1.01537,0.5344,0.48506,0.46611,0.28662,0.44659,0.38556,0.36453,0.17673,1.36012,3.35915,1.1165,1.07109,0.0017822,0.0017822,0.0017822
13,189.496,1.2028,2.78802,0.75624,1.01064,0.72995,0.51236,0.58312,0.34851,0.61077,0.40118,0.43497,0.20427,1.34223,3.31821,0.89044,1.07497,0.0017624,0.0017624,0.0017624
14,202.658,1.19985,2.79843,0.74665,1.00953,0.7394,0.50695,0.60057,0.35989,0.61957,0.3848,0.44945,0.21049,1.31668,3.22483,0.83245,1.04763,0.0017426,0.0017426,0.0017426
15,216.836,1.1804,2.74819,0.73164,1.00216,0.66765,0.45215,0.52234,0.31049,0.60033,0.35416,0.40189,0.19189,1.4126,3.27353,0.96084,1.12224,0.0017228,0.0017228,0.0017228
16,229.381,1.18219,2.76792,0.73235,1.0024,0.75889,0.52222,0.60791,0.36158,0.66807,0.38511,0.43713,0.20164,1.31732,3.25124,0.86328,1.0696,0.001703,0.001703,0.001703
17,242.491,1.16327,2.72916,0.72211,0.99791,0.74016,0.53481,0.60561,0.36258,0.64376,0.41195,0.46446,0.22058,1.29767,3.14858,0.84806,1.04802,0.0016832,0.0016832,0.0016832
18,256.764,1.16933,2.73638,0.72451,0.99989,0.75243,0.51907,0.60649,0.35708,0.60111,0.39663,0.43406,0.19745,1.3316,3.1851,0.84504,1.05987,0.0016634,0.0016634,0.0016634
19,269.688,1.17286,2.74312,0.72415,1.0001,0.76161,0.53815,0.62399,0.37252,0.64121,0.3848,0.44194,0.20419,1.27776,3.15588,0.82667,1.0447,0.0016436,0.0016436,0.0016436
20,284.029,1.15683,2.71559,0.70949,0.99386,0.73327,0.53344,0.60396,0.36244,0.63728,0.43015,0.47188,0.21335,1.30455,3.14114,0.87377,1.07016,0.0016238,0.0016238,0.0016238
21,297.302,1.157,2.7099,0.70849,0.99691,0.71722,0.53511,0.61336,0.36727,0.64015,0.37327,0.44013,0.21409,1.28414,3.08413,0.804,1.02731,0.001604,0.001604,0.001604
22,311.558,1.14674,2.67287,0.70153,0.99224,0.74219,0.53466,0.61135,0.36909,0.61866,0.3933,0.44043,0.19738,1.30446,3.22122,0.84021,1.06172,0.0015842,0.0015842,0.0015842
23,324.892,1.14674,2.69428,0.70233,0.99278,0.75936,0.54406,0.6261,0.38125,0.69048,0.41347,0.47838,0.22264,1.26833,3.04757,0.80119,1.03916,0.0015644,0.0015644,0.0015644
24,337.95,1.13797,2.66555,0.69556,0.99314,0.76203,0.5204,0.60898,0.36542,0.64736,0.42773,0.48218,0.2301,1.31096,3.1461,0.80238,1.05235,0.0015446,0.0015446,0.0015446
25,351.793,1.14167,2.65709,0.69499,0.9896,0.74068,0.53678,0.61737,0.37827,0.66375,0.39911,0.46319,0.22169,1.24818,3.0262,0.7755,1.03581,0.0015248,0.0015248,0.0015248
26,365.274,1.13509,2.66987,0.68905,0.99002,0.76314,0.51947,0.60674,0.36864,0.64804,0.41499,0.47216,0.22526,1.28009,3.07152,0.79636,1.05126,0.001505,0.001505,0.001505
27,380.301,1.1333,2.65722,0.68598,0.98679,0.78026,0.52237,0.61333,0.37802,0.65227,0.41787,0.4727,0.22608,1.26061,3.01199,0.78232,1.03871,0.0014852,0.0014852,0.0014852
28,393.709,1.12856,2.64067,0.68065,0.98334,0.74836,0.53754,0.62308,0.37575,0.65582,0.40406,0.46411,0.21508,1.27806,3.13537,0.79316,1.03983,0.0014654,0.0014654,0.0014654
29,407.452,1.12985,2.65258,0.68474,0.98462,0.7718,0.5342,0.61438,0.37034,0.65719,0.43034,0.48474,0.22571,1.30959,3.03379,0.80304,1.0585,0.0014456,0.0014456,0.0014456
