epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.0358,0.76678,1.36358,1.31174,1.1619,0.96588,0.97273,0.98403,0.81297,0.96092,0.96864,0.97969,0.77004,0.66723,1.15321,0.74,1.16125,0.000662626,0.000662626,0.000662626
2,22.5777,0.70462,1.0054,0.68947,1.08937,0.89694,0.92121,0.96367,0.73703,0.89252,0.91667,0.9552,0.74704,0.8078,1.17998,0.79446,1.25863,0.00131613,0.00131613,0.00131613
3,32.9048,0.7137,0.99427,0.57079,1.09585,0.93113,0.96286,0.97494,0.78899,0.91942,0.95087,0.96494,0.7867,0.67921,0.84434,0.61971,1.16714,0.00195644,0.00195644,0.00195644
4,42.9326,0.68604,0.95383,0.50326,1.08107,0.95344,0.96061,0.98186,0.83763,0.94492,0.95152,0.97225,0.72634,0.71721,0.98039,0.50217,1.15615,0.0019406,0.0019406,0.0019406
5,53.0703,0.67292,0.92893,0.47552,1.07468,0.97054,0.97273,0.98634,0.85617,0.96578,0.96818,0.98233,0.81767,0.57633,0.84172,0.45741,1.06759,0.0019208,0.0019208,0.0019208
6,63.3783,0.63773,0.898,0.44287,1.05048,0.95924,0.96266,0.98361,0.85418,0.96134,0.96061,0.98074,0.82465,0.54041,0.80542,0.49439,1.0042,0.001901,0.001901,0.001901
7,73.3309,0.63475,0.8909,0.43124,1.05575,0.98479,0.98082,0.99206,0.8724,0.98022,0.97627,0.98765,0.85746,0.53434,0.78547,0.42053,1.02837,0.0018812,0.0018812,0.0018812
8,83.4195,0.61417,0.87833,0.42154,1.04615,0.98165,0.98485,0.99359,0.88777,0.98434,0.98182,0.99354,0.86267,0.49222,0.7255,0.39016,0.96534,0.0018614,0.0018614,0.0018614
9,93.4835,0.62084,0.86669,0.41897,1.04965,0.97429,0.97613,0.99006,0.89798,0.97278,0.97473,0.98944,0.85972,0.49936,0.72972,0.41744,0.9635,0.0018416,0.0018416,0.0018416
10,103.682,0.60653,0.85819,0.40377,1.04001,0.96451,0.98485,0.99219,0.87947,0.96847,0.97721,0.99079,0.74409,0.74511,0.88146,0.41452,1.13874,0.0018218,0.0018218,0.0018218
11,113.682,0.59675,0.86707,0.39664,1.03685,0.98322,0.9766,0.99125,0.90492,0.98317,0.97375,0.99081,0.87955,0.48332,0.71311,0.33826,0.9639,0.001802,0.001802,0.001802
12,123.904,0.58932,0.84025,0.38729,1.02594,0.97154,0.98257,0.98722,0.90002,0.97154,0.98257,0.98679,0.87848,0.44534,0.69484,0.37965,0.94945,0.0017822,0.0017822,0.0017822
13,133.951,0.58031,0.83163,0.38958,1.02564,0.96405,0.97424,0.98518,0.88895,0.96083,0.96628,0.98274,0.83623,0.54172,0.75485,0.39015,1.00428,0.0017624,0.0017624,0.0017624
14,144.157,0.56155,0.80111,0.36518,1.01277,0.98497,0.99326,0.99147,0.91341,0.98347,0.99175,0.99167,0.87841,0.45938,0.69488,0.29981,0.93163,0.0017426,0.0017426,0.0017426
15,154.415,0.57412,0.8051,0.37206,1.02302,0.97541,0.98788,0.98992,0.89934,0.97391,0.98636,0.98946,0.86101,0.43538,0.70487,0.37423,0.92325,0.0017228,0.0017228,0.0017228
16,164.434,0.56207,0.81275,0.36368,1.01781,0.98399,0.98636,0.99188,0.91402,0.98248,0.98485,0.9916,0.88965,0.45349,0.6547,0.30253,0.9433,0.001703,0.001703,0.001703
17,174.61,0.55403,0.78907,0.35714,1.01573,0.97582,0.98333,0.98566,0.9017,0.96842,0.97585,0.98191,0.8714,0.44652,0.68263,0.32183,0.95296,0.0016832,0.0016832,0.0016832
18,184.838,0.55315,0.78311,0.35893,1.00953,0.96995,0.97817,0.97786,0.88972,0.96545,0.97365,0.97482,0.86756,0.43635,0.70822,0.32513,0.92617,0.0016634,0.0016634,0.0016634
19,195.028,0.54221,0.77007,0.35738,1.00174,0.97598,0.98503,0.98801,0.91055,0.97448,0.98352,0.98625,0.87683,0.43381,0.63183,0.318,0.91541,0.0016436,0.0016436,0.0016436
20,205.109,0.5433,0.76942,0.34414,1.00279,0.97605,0.98799,0.99098,0.90889,0.979,0.98866,0.98981,0.8773,0.45171,0.66657,0.29528,0.94139,0.0016238,0.0016238,0.0016238
21,215.349,0.54769,0.77022,0.3502,1.00596,0.98939,0.98913,0.99121,0.91964,0.98485,0.98471,0.9898,0.89708,0.38787,0.63759,0.28812,0.88878,0.001604,0.001604,0.001604
22,225.339,0.53143,0.76797,0.34697,0.99896,0.98924,0.99091,0.99254,0.92403,0.98626,0.99091,0.99204,0.89732,0.39008,0.65598,0.26766,0.88699,0.0015842,0.0015842,0.0015842
