epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.30697,0.85176,1.9103,0.71797,1.18277,0.89789,0.83333,0.9266,0.78655,0.89789,0.83333,0.9266,0.76142,0.58464,1.26462,0.46667,0.8317,0.000653061,0.000653061,0.000653061
2,3.91143,0.73688,1.3243,0.60668,1.06104,0.90309,0.91667,0.95064,0.82693,0.90309,0.91667,0.9475,0.76504,0.50156,1.01052,0.43379,0.79193,0.00128706,0.00128706,0.00128706
3,5.47107,0.72997,1.21194,0.57154,1.058,0.99175,0.91667,0.96071,0.86261,0.99175,0.91667,0.96071,0.79527,0.45475,1.02989,0.33601,0.78105,0.00188807,0.00188807,0.00188807
4,7.02721,0.72977,1.26897,0.57068,1.05523,0.99293,0.91667,0.95056,0.8349,0.99293,0.91667,0.95056,0.81449,0.51517,0.93149,0.40595,0.82174,0.0018515,0.0018515,0.0018515
5,8.57419,0.67563,1.10141,0.53236,1.02293,0.99333,0.91667,0.98885,0.8822,0.99333,0.91667,0.98885,0.83506,0.55642,0.88284,0.40582,0.79539,0.001802,0.001802,0.001802
6,10.1827,0.67974,1.07818,0.50991,1.03829,0.99062,0.91667,0.96553,0.87677,0.99062,0.91667,0.93786,0.84613,0.43443,0.8837,0.37354,0.77371,0.0017525,0.0017525,0.0017525
7,11.7283,0.69096,1.08274,0.51966,1.01547,0.9942,0.91667,0.955,0.90523,0.9942,0.91667,0.955,0.84206,0.34985,0.93632,0.33686,0.75507,0.001703,0.001703,0.001703
8,13.2967,0.66906,1.08882,0.52283,1.02672,0.99466,0.91667,0.94409,0.86306,0.99466,0.91667,0.94409,0.81534,0.4962,0.88633,0.44315,0.7796,0.0016535,0.0016535,0.0016535
9,14.8621,0.62129,1.03645,0.50864,1.00746,0.9725,0.91667,0.96071,0.84129,0.9725,0.91667,0.96071,0.84725,0.48016,0.87485,0.40771,0.7878,0.001604,0.001604,0.001604
10,16.4205,0.62848,0.98157,0.47446,0.99613,0.994,0.91667,0.975,0.87035,0.994,0.91667,0.975,0.8514,0.47553,0.81666,0.40309,0.83569,0.0015545,0.0015545,0.0015545
11,17.9935,0.60215,0.98864,0.47617,0.99247,0.99427,0.91667,0.955,0.90625,0.99427,0.91667,0.955,0.85163,0.39377,0.84942,0.38892,0.79089,0.001505,0.001505,0.001505
