epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.4093,1.16092,3.25815,2.51087,1.48784,0.00333,1,0.92181,0.6807,0.00333,1,0.91628,0.70114,0.56618,1.4269,2.51628,1.12343,0.0004,0.0004,0.0004
2,19.0821,0.62883,0.93826,1.02961,1.06897,1,0.3014,0.97931,0.81712,0.99497,0.29989,0.97642,0.80443,0.53374,1.2289,2.26754,1.09228,0.000811882,0.000811882,0.000811882
3,27.8058,0.61657,0.90408,0.74112,1.03946,0.91173,0.86079,0.9505,0.72989,0.88445,0.83504,0.91318,0.55867,0.66428,3.11835,1.97974,1.23763,0.00121545,0.00121545,0.00121545
4,36.5894,0.64096,0.90199,0.64789,1.05669,0.82504,0.72576,0.83567,0.47517,0.73055,0.46212,0.49897,0.21634,1.39322,15.4646,1.35982,2.46216,0.0016107,0.0016107,0.0016107
5,45.5328,0.64026,0.91738,0.57012,1.05755,0.57898,0.65152,0.60626,0.23363,0.53309,0.54848,0.48207,0.16534,1.75481,7.28126,1.80208,2.39755,0.0019208,0.0019208,0.0019208
6,54.2564,0.62872,0.89395,0.52292,1.04474,0.88558,0.91472,0.95083,0.66144,0.87394,0.90338,0.93808,0.63463,0.75336,1.47949,1.08823,1.67246,0.001901,0.001901,0.001901
7,63.1078,0.60719,0.85358,0.465,1.04631,0.89929,0.90455,0.94011,0.73886,0.88395,0.92331,0.93945,0.68824,0.75145,1.4088,0.85895,1.41267,0.0018812,0.0018812,0.0018812
8,71.8294,0.59912,0.85633,0.44114,1.04099,0.79558,0.8963,0.89505,0.69006,0.8004,0.8803,0.8899,0.68117,0.69045,1.38927,0.99948,1.27811,0.0018614,0.0018614,0.0018614
9,80.4248,0.59962,0.8681,0.42684,1.03554,0.96186,0.97727,0.98471,0.81144,0.95088,0.95152,0.9645,0.68291,0.67593,1.97025,0.60447,1.27227,0.0018416,0.0018416,0.0018416
10,89.0488,0.58805,0.83668,0.41409,1.03025,0.91189,0.9722,0.97537,0.80767,0.9121,0.97576,0.97438,0.80644,0.56252,1.04445,0.62993,1.0946,0.0018218,0.0018218,0.0018218
11,97.553,0.56621,0.8025,0.39228,1.01738,0.97082,0.98636,0.9927,0.87021,0.96859,0.98122,0.99208,0.82343,0.53635,1.17295,0.49289,1.00567,0.001802,0.001802,0.001802
12,106.161,0.55774,0.80459,0.38111,1.01372,0.92582,0.94242,0.95956,0.82548,0.90727,0.91908,0.93268,0.55302,0.53949,4.94638,0.64173,1.07137,0.0017822,0.0017822,0.0017822
13,114.727,0.5642,0.80267,0.38235,1.0146,0.91392,0.91667,0.96637,0.77015,0.91532,0.91713,0.96301,0.80198,0.52355,0.74185,0.60629,1.04885,0.0017624,0.0017624,0.0017624
14,123.266,0.54615,0.79142,0.37004,1.00146,0.93961,0.96656,0.97543,0.82679,0.93519,0.96202,0.97159,0.80435,0.55005,0.86154,0.52374,1.11342,0.0017426,0.0017426,0.0017426
15,131.805,0.54964,0.78764,0.37111,1.00386,0.94361,0.97121,0.98471,0.88903,0.93351,0.9573,0.97313,0.80454,0.44828,1.09114,0.40977,0.94576,0.0017228,0.0017228,0.0017228
16,140.313,0.53796,0.75335,0.35857,1.00319,0.96263,0.97579,0.9885,0.85765,0.95667,0.97018,0.98248,0.84653,0.58681,0.94032,0.51059,1.12104,0.001703,0.001703,0.001703
17,148.785,0.5548,0.79038,0.36978,1.00764,0.97754,0.98935,0.98785,0.87764,0.97305,0.9848,0.97942,0.85123,0.47339,0.75264,0.38135,0.9849,0.0016832,0.0016832,0.0016832
18,157.275,0.53931,0.78365,0.35878,1.00517,0.75851,0.77727,0.82846,0.56275,0.74077,0.75909,0.79871,0.45203,1.07638,1.91082,1.06017,1.5167,0.0016634,0.0016634,0.0016634
19,165.665,0.53093,0.77003,0.3549,0.99387,0.97938,0.98788,0.9875,0.90185,0.97556,0.97727,0.98407,0.87361,0.42682,0.74613,0.37774,0.9296,0.0016436,0.0016436,0.0016436
20,174.056,0.53318,0.73307,0.34846,0.99697,0.98274,0.98636,0.99197,0.89082,0.97972,0.98333,0.99045,0.85808,0.52005,0.74137,0.40128,0.97163,0.0016238,0.0016238,0.0016238
21,182.38,0.52108,0.73637,0.34163,0.99421,0.98478,0.98027,0.99092,0.88795,0.98326,0.97876,0.98981,0.88007,0.46002,0.75096,0.39579,0.95841,0.001604,0.001604,0.001604
22,190.804,0.53311,0.74894,0.34077,0.99711,0.9892,0.98788,0.99164,0.90917,0.98198,0.99053,0.99087,0.89243,0.42922,0.78766,0.30467,0.90839,0.0015842,0.0015842,0.0015842
23,199.21,0.51695,0.72428,0.33903,0.99156,0.97446,0.98289,0.99152,0.90553,0.97374,0.97879,0.99126,0.89652,0.42299,0.68703,0.36116,0.91352,0.0015644,0.0015644,0.0015644
24,207.661,0.51032,0.72078,0.33207,0.98805,0.96507,0.96281,0.97448,0.88801,0.96051,0.95826,0.97206,0.83948,0.43508,0.85373,0.35608,0.92029,0.0015446,0.0015446,0.0015446
25,216.095,0.50984,0.71793,0.32899,0.97996,0.98114,0.99394,0.99238,0.90697,0.97652,0.98939,0.99114,0.866,0.42054,0.87697,0.31668,0.89751,0.0015248,0.0015248,0.0015248
26,224.515,0.50385,0.72083,0.3244,0.98132,0.9834,0.98716,0.98851,0.89602,0.98038,0.98413,0.98469,0.88301,0.46355,0.66937,0.30196,0.9673,0.001505,0.001505,0.001505
27,233.003,0.50698,0.71975,0.32554,0.98096,0.96579,0.98394,0.99031,0.8929,0.96431,0.98242,0.99015,0.88342,0.43059,0.66529,0.37294,0.93396,0.0014852,0.0014852,0.0014852
28,241.42,0.49322,0.72168,0.31921,0.97962,0.97981,0.99394,0.99116,0.91419,0.97832,0.99242,0.99012,0.88089,0.43055,0.64706,0.3512,0.91569,0.0014654,0.0014654,0.0014654
29,249.823,0.5102,0.72194,0.33034,0.98333,0.98623,0.99394,0.99145,0.90485,0.98623,0.99394,0.99145,0.87974,0.46539,0.78073,0.29846,0.92236,0.0014456,0.0014456,0.0014456
30,258.233,0.49481,0.70909,0.31799,0.97827,0.98547,0.98182,0.99266,0.92123,0.97747,0.98601,0.99191,0.90231,0.39376,0.60497,0.30791,0.87486,0.0014258,0.0014258,0.0014258
31,266.827,0.48304,0.69574,0.31514,0.96921,0.96063,0.96126,0.97438,0.89559,0.94852,0.94914,0.96418,0.86374,0.40668,0.74658,0.32196,0.90794,0.001406,0.001406,0.001406
32,275.603,0.49273,0.68993,0.31811,0.97549,0.96413,0.97745,0.98774,0.90808,0.95516,0.96836,0.98538,0.86491,0.40113,0.73036,0.34009,0.89665,0.0013862,0.0013862,0.0013862
33,284.334,0.49053,0.69985,0.31243,0.97477,0.98343,0.98899,0.99039,0.89813,0.98192,0.98748,0.99036,0.90028,0.44359,0.63282,0.32099,0.93701,0.0013664,0.0013664,0.0013664
34,293.105,0.49381,0.69373,0.30743,0.97594,0.98606,0.98788,0.98923,0.92401,0.98303,0.98485,0.98798,0.9093,0.39095,0.63617,0.2841,0.88428,0.0013466,0.0013466,0.0013466
35,301.292,0.49392,0.68074,0.30668,0.97008,0.98191,0.98671,0.98884,0.92424,0.98201,0.98485,0.98735,0.90781,0.3863,0.63829,0.28738,0.8784,0.0013268,0.0013268,0.0013268
36,309.501,0.4734,0.67733,0.30383,0.96251,0.98938,0.98769,0.99362,0.90886,0.98552,0.98636,0.9926,0.89257,0.44674,0.68936,0.27472,0.95166,0.001307,0.001307,0.001307
37,317.612,0.48039,0.67863,0.30434,0.96734,0.98631,0.98217,0.98877,0.92129,0.98326,0.97914,0.98591,0.90539,0.38433,0.68824,0.2711,0.86706,0.0012872,0.0012872,0.0012872
38,325.675,0.47612,0.68473,0.29983,0.96381,0.98309,0.96866,0.97806,0.898,0.97232,0.95818,0.96982,0.86916,0.40675,0.7429,0.32979,0.90586,0.0012674,0.0012674,0.0012674
39,333.662,0.47634,0.69132,0.30135,0.96476,0.98488,0.98668,0.98818,0.93627,0.98336,0.98517,0.98692,0.90123,0.366,0.68005,0.25847,0.85844,0.0012476,0.0012476,0.0012476
40,341.683,0.48352,0.66246,0.29582,0.96354,0.98302,0.99394,0.99274,0.927,0.98153,0.99242,0.99262,0.90641,0.38851,0.61232,0.26245,0.87809,0.0012278,0.0012278,0.0012278
